Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR
0.6976207413819145,0.5945,0.9846153846153847,0.192,0.32133891213389126,0.003,0.808
0.7057928713166254,0.5905,0.994535519125683,0.182,0.3076923076923077,0.001,0.818
0.713965001251336,0.5885,1.0,0.177,0.3007646559048428,0.0,0.823
0.7221371311860466,0.5855,1.0,0.171,0.2920580700256191,0.0,0.829
0.7303092611207572,0.5815,1.0,0.163,0.28030954428202925,0.0,0.837
0.7384813910554681,0.5795,1.0,0.159,0.274374460742019,0.0,0.841
0.7466535209901787,0.577,1.0,0.154,0.2668977469670711,0.0,0.846
0.7548256509248893,0.574,1.0,0.148,0.2578397212543554,0.0,0.852
0.7629977808595999,0.569,1.0,0.138,0.2425307557117751,0.0,0.862
0.7711699107943105,0.5635,1.0,0.127,0.225377107364685,0.0,0.873
0.7793420407290214,0.5615,1.0,0.123,0.21905609973285842,0.0,0.877
0.787514170663732,0.56,1.0,0.12,0.21428571428571425,0.0,0.88
0.7956863005984426,0.5555,1.0,0.111,0.19981998199819984,0.0,0.889
0.8038584305331532,0.553,1.0,0.106,0.19168173598553342,0.0,0.894
0.8120305604678638,0.549,1.0,0.098,0.1785063752276867,0.0,0.902
0.8202026904025747,0.5455,1.0,0.091,0.16681943171402383,0.0,0.909
0.8283748203372853,0.542,1.0,0.084,0.15498154981549817,0.0,0.916
0.8365469502719959,0.539,1.0,0.078,0.14471243042671614,0.0,0.922
0.8447190802067065,0.5355,1.0,0.071,0.13258636788048553,0.0,0.929
0.8528912101414173,0.5325,1.0,0.065,0.12206572769953053,0.0,0.935
0.861063340076128,0.527,1.0,0.054,0.10246679316888045,0.0,0.946
0.8692354700108386,0.524,1.0,0.048,0.0916030534351145,0.0,0.952
0.8774075999455492,0.5215,1.0,0.043,0.08245445829338446,0.0,0.957
0.8855797298802598,0.519,1.0,0.038,0.07321772639691715,0.0,0.962
0.8937518598149706,0.517,1.0,0.034,0.06576402321083172,0.0,0.966
0.9019239897496812,0.516,1.0,0.032,0.06201550387596899,0.0,0.968
0.9100961196843919,0.515,1.0,0.03,0.058252427184466014,0.0,0.97
0.9182682496191025,0.512,1.0,0.024,0.046875,0.0,0.976
0.9264403795538133,0.5095,1.0,0.019,0.03729146221786065,0.0,0.981
0.9346125094885239,0.5065,1.0,0.013,0.02566633761105627,0.0,0.987
0.9427846394232345,0.505,1.0,0.01,0.019801980198019802,0.0,0.99
0.9509567693579452,0.505,1.0,0.01,0.019801980198019802,0.0,0.99
0.9591288992926558,0.503,1.0,0.006,0.011928429423459244,0.0,0.994
0.9673010292273666,0.5025,1.0,0.005,0.009950248756218907,0.0,0.995
0.9754731591620772,0.502,1.0,0.004,0.00796812749003984,0.0,0.996
0.9836452890967878,0.5015,1.0,0.003,0.005982053838484547,0.0,0.997
0.9918174190314984,0.5015,1.0,0.003,0.005982053838484547,0.0,0.997
0.9999895489662092,0.5005,1.0,0.001,0.0019980019980019984,0.0,0.999
